bizesNm,indsLclsNm,indsMclsNm,indsScnm,sigunguNm,sigunguDetailNm,adongNm,lnAdr,rdnAdr
아이티전략연구원,과학·기술,본사·경영 컨설팅,경영 컨설팅업,세종특별자치시,세종특별자치시,반곡동,세종특별자치시 세종특별자치시 집현동 1163,세종특별자치시 세종특별자치시 집현중앙7로 6
뉴올드커피컴퍼니,음식,비알코올 ,카페,세종특별자치시,세종특별자치시,보람동,세종특별자치시 세종특별자치시 보람동 722,세종특별자치시 세종특별자치시 한누리대로 2150
롯데리아세종,음식,기타 간이,버거,세종특별자치시,세종특별자치시,소담동,세종특별자치시 세종특별자치시 소담동 576,세종특별자치시 세종특별자치시 한누리대로 2009
아이젠트리,소매,안경·정밀기기 소매,안경렌즈 소매업,세종특별자치시,세종특별자치시,종촌동,세종특별자치시 세종특별자치시 종촌동 649,세종특별자치시 세종특별자치시 달빛로 77
모모안경,소매,안경·정밀기기 소매,안경렌즈 소매업,세종특별자치시,세종특별자치시,새롬동,세종특별자치시 세종특별자치시 새롬동 580,세종특별자치시 세종특별자치시 새롬중앙로 67
제일씨오엠주,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,세종특별자치시,세종특별자치시,보람동,세종특별자치시 세종특별자치시 보람동 738,세종특별자치시 세종특별자치시 한누리대로 2165
하랑에듀,교육,기타 교육,기타 기술/직업 훈련학원,세종특별자치시,세종특별자치시,고운동,세종특별자치시 세종특별자치시 고운동 1369,세종특별자치시 세종특별자치시 마음안1로 155
다온건축사사무소,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,세종특별자치시,세종특별자치시,어진동,세종특별자치시 세종특별자치시 어진동 671,세종특별자치시 세종특별자치시 갈매로 351
유미형치유요가연구소,교육,기타 교육,요가/필라테스 학원,세종특별자치시,세종특별자치시,대평동,세종특별자치시 세종특별자치시 대평동 684,세종특별자치시 세종특별자치시 한누리대로 2270
만세곱창,음식,한식,곱창 전골/구이,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 침산리 267-7,세종특별자치시 세종특별자치시 조치원읍 행복10길 11
길라잡이체육관,예술·스포츠,스포츠 서비스,헬스장,세종특별자치시,세종특별자치시,종촌동,세종특별자치시 세종특별자치시 종촌동 673,세종특별자치시 세종특별자치시 도움1로 108
초사골불타는쭈꾸미부대찌개전의점,음식,한식,해산물 구이/찜,세종특별자치시,세종특별자치시,전의면,세종특별자치시 세종특별자치시 전의면 신정리 578-15,세종특별자치시 세종특별자치시 전의면 왕의물로 138
토바우안심한우마을,음식,한식,소고기 구이/찜,세종특별자치시,세종특별자치시,장군면,세종특별자치시 세종특별자치시 장군면 봉안리 201-42,세종특별자치시 세종특별자치시 장군면 월현윗길 173-12
본세종민물장어,음식,한식,해산물 구이/찜,세종특별자치시,세종특별자치시,연서면,세종특별자치시 세종특별자치시 연서면 월하리 952-1,세종특별자치시 세종특별자치시 연서면 대첩로 150
박준뷰티랩,수리·개인,이용·미용,미용실,세종특별자치시,세종특별자치시,나성동,세종특별자치시 세종특별자치시 나성동 720,세종특별자치시 세종특별자치시 한누리대로 169
랄라홍,소매,섬유·의복·신발 소매,기타 의류 소매업,세종특별자치시,세종특별자치시,나성동,세종특별자치시 세종특별자치시 나성동 811,세종특별자치시 세종특별자치시 나성로 96
구노포차,음식,주점,요리 주점,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 침산리 264-4,세종특별자치시 세종특별자치시 조치원읍 행복4길 16
경산,과학·기술,본사·경영 컨설팅,경영 컨설팅업,세종특별자치시,세종특별자치시,반곡동,세종특별자치시 세종특별자치시 집현동 1163,세종특별자치시 세종특별자치시 집현중앙7로 6
홍커피,음식,비알코올 ,카페,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 서창리 203-9,세종특별자치시 세종특별자치시 조치원읍 섭골길 31
현대블루핸즈세종,수리·개인,자동차 수리·세차,자동차 정비소,세종특별자치시,세종특별자치시,금남면,세종특별자치시 세종특별자치시 금남면 용포리 212-8,세종특별자치시 세종특별자치시 금남면 용포로 112
혜원도자기숲미술교습소,교육,기타 교육,미술학원,세종특별자치시,세종특별자치시,다정동,세종특별자치시 세종특별자치시 다정동 944,세종특별자치시 세종특별자치시 다정중앙로 53
명품식당,음식,한식,백반/한정식,세종특별자치시,세종특별자치시,부강면,세종특별자치시 세종특별자치시 부강면 부강리 431-5,세종특별자치시 세종특별자치시 부강면 부강로 33
대진식당세종,음식,한식,돼지고기 구이/찜,세종특별자치시,세종특별자치시,한솔동,세종특별자치시 세종특별자치시 한솔동 967,세종특별자치시 세종특별자치시 노을3로 99
미플러스스킨앤바디,수리·개인,이용·미용,피부 관리실,세종특별자치시,세종특별자치시,고운동,세종특별자치시 세종특별자치시 고운동 1373,세종특별자치시 세종특별자치시 마음로 272-3
세종DM,시설관리·임대,사무 지원,기타 사무 지원 서비스업,세종특별자치시,세종특별자치시,보람동,세종특별자치시 세종특별자치시 보람동 711,세종특별자치시 세종특별자치시 시청대로 213
힐링아리,음식,비알코올 ,카페,세종특별자치시,세종특별자치시,전동면,세종특별자치시 세종특별자치시 전동면 노장리 237,세종특별자치시 세종특별자치시 전동면 죽엽이길 27-7
세종스파휘트니스,예술·스포츠,스포츠 서비스,헬스장,세종특별자치시,세종특별자치시,장군면,세종특별자치시 세종특별자치시 장군면 봉안리 387,세종특별자치시 세종특별자치시 장군면 봉안길 70
르노자동차서비스코너세종연기점,수리·개인,자동차 수리·세차,자동차 정비소,세종특별자치시,세종특별자치시,연기면,세종특별자치시 세종특별자치시 연기면 연기리 447-1,세종특별자치시 세종특별자치시 연기면 당산로 157
봉쥬르프랑,음식,기타 간이,빵/도넛,세종특별자치시,세종특별자치시,나성동,세종특별자치시 세종특별자치시 나성동 746,세종특별자치시 세종특별자치시 한누리대로 249
명문상회,소매,종합 소매,슈퍼마켓,세종특별자치시,세종특별자치시,장군면,세종특별자치시 세종특별자치시 장군면 도계리 160-5,세종특별자치시 세종특별자치시 장군면 장척로 419
엉클부대찌개,음식,한식,국/탕/찌개류,세종특별자치시,세종특별자치시,반곡동,세종특별자치시 세종특별자치시 반곡동 840,세종특별자치시 세종특별자치시 한누리대로 1948
세종퍼스트피부과,보건의료,의원,피부/비뇨기과 의원,세종특별자치시,세종특별자치시,종촌동,세종특별자치시 세종특별자치시 종촌동 659,세종특별자치시 세종특별자치시 달빛로 59
대박정육점,소매,식료품 소매,정육점,세종특별자치시,세종특별자치시,소담동,세종특별자치시 세종특별자치시 소담동 582,세종특별자치시 세종특별자치시 소담1로 12
대운다방,음식,비알코올 ,카페,세종특별자치시,세종특별자치시,연기면,세종특별자치시 세종특별자치시 연기면 연기리 387-10,세종특별자치시 세종특별자치시 연기면 당산로 118-1
리본더타이,수리·개인,욕탕·신체관리,마사지/안마,세종특별자치시,세종특별자치시,도담동,세종특별자치시 세종특별자치시 도담동 673,세종특별자치시 세종특별자치시 보듬3로 8-21
다와,과학·기술,본사·경영 컨설팅,경영 컨설팅업,세종특별자치시,세종특별자치시,장군면,세종특별자치시 세종특별자치시 장군면 금암리 180-1,세종특별자치시 세종특별자치시 장군면 대학길 300
농협보험세종교육원,교육,기타 교육,직원 훈련기관,세종특별자치시,세종특별자치시,장군면,세종특별자치시 세종특별자치시 장군면 금암리 310-1,세종특별자치시 세종특별자치시 장군면 전원마을2길 13-6
한올디앤씨,부동산,부동산 서비스,부동산 중개/대리업,세종특별자치시,세종특별자치시,고운동,세종특별자치시 세종특별자치시 고운동 1372,세종특별자치시 세종특별자치시 마음로 272-4
제이케이스튜디오뉴욕,과학·기술,전문 디자인,시각 디자인업,세종특별자치시,세종특별자치시,종촌동,세종특별자치시 세종특별자치시 종촌동 673,세종특별자치시 세종특별자치시 도움1로 108
특수청소,시설관리·임대,청소·방제,산업설비; 운송장비 및 공공장소 청소업,세종특별자치시,세종특별자치시,종촌동,세종특별자치시 세종특별자치시 종촌동 657,세종특별자치시 세종특별자치시 도움3로 105-5
앞뜰에,음식,한식,백반/한정식,세종특별자치시,세종특별자치시,소정면,세종특별자치시 세종특별자치시 소정면 대곡리 370-13,세종특별자치시 세종특별자치시 소정면 학수소사길 48
이레수학,교육,일반 교육,입시·교과학원,세종특별자치시,세종특별자치시,고운동,세종특별자치시 세종특별자치시 고운동 1395,세종특별자치시 세종특별자치시 만남로 187
승도리네곱도리탕,음식,한식,곱창 전골/구이,세종특별자치시,세종특별자치시,도담동,세종특별자치시 세종특별자치시 도담동 675,세종특별자치시 세종특별자치시 보듬3로 8-27
크린위드나성포레뷰점,수리·개인,세탁,세탁소,세종특별자치시,세종특별자치시,나성동,세종특별자치시 세종특별자치시 나성동 737,세종특별자치시 세종특별자치시 한누리대로 291
신흥전업사,소매,기타 생활용품 소매,전기용품/조명장치 소매업,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 정리 87-10,세종특별자치시 세종특별자치시 조치원읍 새내로 86-1
은우건축,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,세종특별자치시,세종특별자치시,고운동,세종특별자치시 세종특별자치시 고운동 1233,세종특별자치시 세종특별자치시 고운북2길 30
써니음악학원,교육,기타 교육,음악학원,세종특별자치시,세종특별자치시,새롬동,세종특별자치시 세종특별자치시 새롬동 574,세종특별자치시 세종특별자치시 새롬중앙로 34
시소시소,소매,기타 생활용품 소매,주방/가정용품 소매업,세종특별자치시,세종특별자치시,도담동,세종특별자치시 세종특별자치시 도담동 635,세종특별자치시 세종특별자치시 보듬4로 86
세종유도관,교육,기타 교육,태권도/무술학원,세종특별자치시,세종특별자치시,보람동,세종특별자치시 세종특별자치시 보람동 757,세종특별자치시 세종특별자치시 남세종로 462
더블유피아노학원,교육,기타 교육,음악학원,세종특별자치시,세종특별자치시,새롬동,세종특별자치시 세종특별자치시 새롬동 579,세종특별자치시 세종특별자치시 새롬중앙로 62-15
비전트리,교육,일반 교육,입시·교과학원,세종특별자치시,세종특별자치시,종촌동,세종특별자치시 세종특별자치시 종촌동 672,세종특별자치시 세종특별자치시 도움1로 106
오즈건축사사무소주,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,세종특별자치시,세종특별자치시,보람동,세종특별자치시 세종특별자치시 보람동 721,세종특별자치시 세종특별자치시 한누리대로 2144
트리플에이파트너스,부동산,부동산 서비스,부동산 중개/대리업,세종특별자치시,세종특별자치시,소담동,세종특별자치시 세종특별자치시 소담동 529,세종특별자치시 세종특별자치시 한누리대로 1974
세종에프씨주,음식,비알코올 ,카페,세종특별자치시,세종특별자치시,소담동,세종특별자치시 세종특별자치시 소담동 524,세종특별자치시 세종특별자치시 한누리대로 1958
애빼맘스산전산후뉴로스포츠메디컬센터,교육,기타 교육,요가/필라테스 학원,세종특별자치시,세종특별자치시,아름동,세종특별자치시 세종특별자치시 아름동 1333,세종특별자치시 세종특별자치시 아름서1길 23
들풀숯불갈비앤메밀막국수,음식,한식,돼지고기 구이/찜,세종특별자치시,세종특별자치시,금남면,세종특별자치시 세종특별자치시 금남면 장재리 561-2,세종특별자치시 세종특별자치시 금남면 금남구즉로 228
초중고수학교습소,교육,일반 교육,입시·교과학원,세종특별자치시,세종특별자치시,종촌동,세종특별자치시 세종특별자치시 종촌동 686,세종특별자치시 세종특별자치시 도움1로 145
마음바른휘트니스,예술·스포츠,스포츠 서비스,헬스장,세종특별자치시,세종특별자치시,아름동,세종특별자치시 세종특별자치시 아름동 1314,세종특별자치시 세종특별자치시 보듬3로 160
지아디자인앤코,과학·기술,전문 디자인,제품 디자인업,세종특별자치시,세종특별자치시,장군면,세종특별자치시 세종특별자치시 장군면 봉안리 22-114,세종특별자치시 세종특별자치시 장군면 행복마을14길 17
순금부동산중개사무소,부동산,부동산 서비스,부동산 중개/대리업,세종특별자치시,세종특별자치시,나성동,세종특별자치시 세종특별자치시 나성동 853,세종특별자치시 세종특별자치시 어울누리로 67
케이제이,음식,서양식,경양식,세종특별자치시,세종특별자치시,다정동,세종특별자치시 세종특별자치시 다정동 970,세종특별자치시 세종특별자치시 다정남로 130
연세미니성형외과,보건의료,의원,성형외과 의원,세종특별자치시,세종특별자치시,나성동,세종특별자치시 세종특별자치시 나성동 741,세종특별자치시 세종특별자치시 한누리대로 273
밤비코드,소매,섬유·의복·신발 소매,기타 의류 소매업,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 신흥리 258-1,세종특별자치시 세종특별자치시 조치원읍 큰말길 21
다인치과,보건의료,의원,치과의원,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 정리 102-3,세종특별자치시 세종특별자치시 조치원읍 새내9길 3
쑤핏,교육,기타 교육,요가/필라테스 학원,세종특별자치시,세종특별자치시,연서면,세종특별자치시 세종특별자치시 연서면 봉암리 164,세종특별자치시 세종특별자치시 연서면 당산로 303
키즈월드스위밍클럽,예술·스포츠,스포츠 서비스,수영장,세종특별자치시,세종특별자치시,아름동,세종특별자치시 세종특별자치시 아름동 1312,세종특별자치시 세종특별자치시 세종로 1234-8
만타스시31,음식,일식,일식 회/초밥,세종특별자치시,세종특별자치시,소담동,세종특별자치시 세종특별자치시 소담동 530,세종특별자치시 세종특별자치시 한누리대로 1978
병천순대&수육국밥,음식,한식,백반/한정식,세종특별자치시,세종특별자치시,보람동,세종특별자치시 세종특별자치시 보람동 749,세종특별자치시 세종특별자치시 호려울로 19
세종산업안전기술사사무소,교육,기타 교육,직원 훈련기관,세종특별자치시,세종특별자치시,아름동,세종특별자치시 세종특별자치시 아름동 1328,세종특별자치시 세종특별자치시 아름서1길 13-5
세종송학컨설팅,부동산,부동산 서비스,부동산 중개/대리업,세종특별자치시,세종특별자치시,장군면,세종특별자치시 세종특별자치시 장군면 송학리 87,세종특별자치시 세종특별자치시 장군면 의당전의로 649
옹달샘,소매,오락용품 소매,서점,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 교리 25-1,세종특별자치시 세종특별자치시 조치원읍 새내로 125
장충동왕족발보쌈,음식,한식,족발/보쌈,세종특별자치시,세종특별자치시,금남면,세종특별자치시 세종특별자치시 금남면 용포리 191-42,세종특별자치시 세종특별자치시 금남면 대평시장1길 11
경화장이용원,수리·개인,이용·미용,미용실,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 죽림리 4-5,세종특별자치시 세종특별자치시 조치원읍 충현로 58-2
뚜레쥬르세종셈텀파크점,음식,기타 간이,빵/도넛,세종특별자치시,세종특별자치시,종촌동,세종특별자치시 세종특별자치시 종촌동 649,세종특별자치시 세종특별자치시 달빛로 77
에이알티101헤어살롱,수리·개인,이용·미용,미용실,세종특별자치시,세종특별자치시,대평동,세종특별자치시 세종특별자치시 대평동 677,세종특별자치시 세종특별자치시 대평로 75
멘키타루,음식,일식,일식 회/초밥,세종특별자치시,세종특별자치시,반곡동,세종특별자치시 세종특별자치시 반곡동 840,세종특별자치시 세종특별자치시 한누리대로 1948
세종커머셜,소매,가전·통신 소매,가전제품 소매업,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 침산리 269-12,세종특별자치시 세종특별자치시 조치원읍 행복길 5
세종당구클럽,예술·스포츠,스포츠 서비스,당구장,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 죽림리 254-2,세종특별자치시 세종특별자치시 조치원읍 충현로 28
대성각,음식,중식,중국집,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 서창리 73-7,세종특별자치시 세종특별자치시 조치원읍 충현로 210
에린,소매,섬유·의복·신발 소매,기타 의류 소매업,세종특별자치시,세종특별자치시,아름동,세종특별자치시 세종특별자치시 아름동 1293,세종특별자치시 세종특별자치시 보듬3로 92
원텍광고기획,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,세종특별자치시,세종특별자치시,새롬동,세종특별자치시 세종특별자치시 새롬동 574,세종특별자치시 세종특별자치시 새롬중앙로 34
대성샾,소매,섬유·의복·신발 소매,여성 의류 소매업,세종특별자치시,세종특별자치시,금남면,세종특별자치시 세종특별자치시 금남면 용포리 193-1,세종특별자치시 세종특별자치시 금남면 대평시장1길 18
대명공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,세종특별자치시,세종특별자치시,금남면,세종특별자치시 세종특별자치시 금남면 용포리 80-2,세종특별자치시 세종특별자치시 금남면 용포로 25
토브홈케어,시설관리·임대,청소·방제,건축물 일반 청소업,세종특별자치시,세종특별자치시,금남면,세종특별자치시 세종특별자치시 금남면 영곡리 25-8,세종특별자치시 세종특별자치시 금남면 성덕영곡길 178
도도한마카롱,음식,기타 간이,빵/도넛,세종특별자치시,세종특별자치시,대평동,세종특별자치시 세종특별자치시 대평동 668,세종특별자치시 세종특별자치시 한누리대로 2236
힐링,수리·개인,욕탕·신체관리,마사지/안마,세종특별자치시,세종특별자치시,아름동,세종특별자치시 세종특별자치시 아름동 1332,세종특별자치시 세종특별자치시 아름서1길 13-4
둔덕골영광보리밥,음식,한식,백반/한정식,세종특별자치시,세종특별자치시,연기면,세종특별자치시 세종특별자치시 연기면 수산리 465-7,세종특별자치시 세종특별자치시 연기면 국사길 22
발란스테라피,수리·개인,욕탕·신체관리,마사지/안마,세종특별자치시,세종특별자치시,나성동,세종특별자치시 세종특별자치시 나성동 788,세종특별자치시 세종특별자치시 나성북1로 12
아시아결혼정보,수리·개인,기타 개인,결혼 상담 서비스업,세종특별자치시,세종특별자치시,부강면,세종특별자치시 세종특별자치시 부강면 부강리 464-31,세종특별자치시 세종특별자치시 부강면 시장길 28-11
쉬즈베이글,음식,기타 간이,피자,세종특별자치시,세종특별자치시,소담동,세종특별자치시 세종특별자치시 소담동 582,세종특별자치시 세종특별자치시 소담1로 12
한방공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,세종특별자치시,세종특별자치시,도담동,세종특별자치시 세종특별자치시 도담동 853,세종특별자치시 세종특별자치시 보듬4로 20
비원,부동산,부동산 서비스,부동산 중개/대리업,세종특별자치시,세종특별자치시,나성동,세종특별자치시 세종특별자치시 나성동 791,세종특별자치시 세종특별자치시 나성로 133-15
신진기획,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,세종특별자치시,세종특별자치시,연기면,세종특별자치시 세종특별자치시 연기면 보통리 314-2,세종특별자치시 세종특별자치시 연기면 잣띠길 51
홍기와쭈꾸미,음식,한식,해산물 구이/찜,세종특별자치시,세종특별자치시,장군면,세종특별자치시 세종특별자치시 장군면 봉안리 301-1,세종특별자치시 세종특별자치시 장군면 봉안산소골길 36-1
제이플라워앤파티클래스,교육,일반 교육,입시·교과학원,세종특별자치시,세종특별자치시,나성동,세종특별자치시 세종특별자치시 나성동 713,세종특별자치시 세종특별자치시 한누리대로 207
세종해법영어수학학원,교육,일반 교육,입시·교과학원,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 신안리 542,세종특별자치시 세종특별자치시 조치원읍 섭골길 59
파워복싱,교육,기타 교육,태권도/무술학원,세종특별자치시,세종특별자치시,고운동,세종특별자치시 세종특별자치시 고운동 1370,세종특별자치시 세종특별자치시 마음로 264
스파르타영어수학학원,교육,일반 교육,입시·교과학원,세종특별자치시,세종특별자치시,종촌동,세종특별자치시 세종특별자치시 종촌동 657,세종특별자치시 세종특별자치시 도움3로 105-5
빠레뜨한남세종아름점,음식,서양식,파스타/스테이크,세종특별자치시,세종특별자치시,아름동,세종특별자치시 세종특별자치시 아름동 1318,세종특별자치시 세종특별자치시 아름서길 3
테라공방,소매,섬유·의복·신발 소매,침구류/커튼 소매업,세종특별자치시,세종특별자치시,소담동,세종특별자치시 세종특별자치시 소담동 539,세종특별자치시 세종특별자치시 소담3로 8
세종신성,부동산,부동산 서비스,부동산 중개/대리업,세종특별자치시,세종특별자치시,나성동,세종특별자치시 세종특별자치시 나성동 821,세종특별자치시 세종특별자치시 나성로 38
미래동물병원,과학·기술,수의,동물병원,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 신안리 401-1,세종특별자치시 세종특별자치시 조치원읍 섭골길 51-41
세종거북선공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,세종특별자치시,세종특별자치시,소담동,세종특별자치시 세종특별자치시 소담동 540,세종특별자치시 세종특별자치시 한누리대로 2012
위앤스터디카페,예술·스포츠,도서관·사적지,독서실/스터디 카페,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 서창리 293-14,세종특별자치시 세종특별자치시 조치원읍 돌마루6길 10
이스마트팩토리,시설관리·임대,운송장비 대여,기타 운송장비 대여업,세종특별자치시,세종특별자치시,어진동,세종특별자치시 세종특별자치시 어진동 641,세종특별자치시 세종특별자치시 다솜로 185
세종의책방집현,소매,오락용품 소매,서점,세종특별자치시,세종특별자치시,새롬동,세종특별자치시 세종특별자치시 새롬동 567,세종특별자치시 세종특별자치시 새롬로 14
세븐일레븐세종첫마을참미르점,소매,종합 소매,편의점,세종특별자치시,세종특별자치시,나성동,세종특별자치시 세종특별자치시 나성동 716,세종특별자치시 세종특별자치시 한누리대로 193
가람책방,소매,오락용품 소매,서점,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 교리 25-1,세종특별자치시 세종특별자치시 조치원읍 새내로 125
맛깔참죽세종새롬점,음식,한식,백반/한정식,세종특별자치시,세종특별자치시,새롬동,세종특별자치시 세종특별자치시 새롬동 574,세종특별자치시 세종특별자치시 새롬중앙로 34
엄마네고깃집,음식,한식,돼지고기 구이/찜,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 침산리 259-4,세종특별자치시 세종특별자치시 조치원읍 행복13길 7
에스유테크,시설관리·임대,가정용품 대여,만화방,세종특별자치시,세종특별자치시,종촌동,세종특별자치시 세종특별자치시 종촌동 661,세종특별자치시 세종특별자치시 도움3로 105-6
켐솔브,과학·기술,기술 서비스,환경 관련 엔지니어링 서비스업,세종특별자치시,세종특별자치시,어진동,세종특별자치시 세종특별자치시 어진동 657,세종특별자치시 세종특별자치시 가름로 232
제이에이치솔루션,과학·기술,기술 서비스,기타 엔지니어링 서비스업,세종특별자치시,세종특별자치시,어진동,세종특별자치시 세종특별자치시 어진동 670,세종특별자치시 세종특별자치시 갈매로 353
궁전노래연습장,예술·스포츠,유원지·오락,노래방,세종특별자치시,세종특별자치시,부강면,세종특별자치시 세종특별자치시 부강면 부강리 419-1,세종특별자치시 세종특별자치시 부강면 부강로 54
박선생수학학원,교육,일반 교육,입시·교과학원,세종특별자치시,세종특별자치시,종촌동,세종특별자치시 세종특별자치시 종촌동 659,세종특별자치시 세종특별자치시 달빛로 59
디쉐어에이닷,교육,일반 교육,입시·교과학원,세종특별자치시,세종특별자치시,아름동,세종특별자치시 세종특별자치시 아름동 1362,세종특별자치시 세종특별자치시 보듬3로 91
럭키유통,예술·스포츠,유원지·오락,복권 발행/판매업,세종특별자치시,세종특별자치시,나성동,세종특별자치시 세종특별자치시 나성동 788,세종특별자치시 세종특별자치시 나성북1로 12
최명식세무회계사무소,과학·기술,회계·세무,공인회계사,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 교리 17-14,세종특별자치시 세종특별자치시 조치원읍 새내16길 28
세종공방,소매,오락용품 소매,문구/회화용품 소매업,세종특별자치시,세종특별자치시,금남면,세종특별자치시 세종특별자치시 금남면 용포리 238-20,세종특별자치시 세종특별자치시 금남면 성덕영곡길 26
우진보석,소매,시계·귀금속 소매,시계/귀금속 소매업,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 상리 134,세종특별자치시 세종특별자치시 조치원읍 장안로 1
현대용역,소매,연료 소매,주유소,세종특별자치시,세종특별자치시,어진동,세종특별자치시 세종특별자치시 어진동 685,세종특별자치시 세종특별자치시 다솜로 38
볼빨간아구찜,음식,한식,해산물 구이/찜,세종특별자치시,세종특별자치시,고운동,세종특별자치시 세종특별자치시 고운동 2112,세종특별자치시 세종특별자치시 마음안1로 137
이공간건축사사무소,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,세종특별자치시,세종특별자치시,대평동,세종특별자치시 세종특별자치시 대평동 687,세종특별자치시 세종특별자치시 대평로 71
미술있다미술학원,교육,기타 교육,미술학원,세종특별자치시,세종특별자치시,나성동,세종특별자치시 세종특별자치시 나성동 720,세종특별자치시 세종특별자치시 한누리대로 169
헤어란,수리·개인,이용·미용,미용실,세종특별자치시,세종특별자치시,고운동,세종특별자치시 세종특별자치시 고운동 1717,세종특별자치시 세종특별자치시 고운서길 19
파스타제작소파스타&필라프,음식,서양식,파스타/스테이크,세종특별자치시,세종특별자치시,고운동,세종특별자치시 세종특별자치시 고운동 2112,세종특별자치시 세종특별자치시 마음안1로 137
우보설렁탕,음식,한식,국/탕/찌개류,세종특별자치시,세종특별자치시,조치원읍,세종특별자치시 세종특별자치시 조치원읍 평리 23-51,세종특별자치시 세종특별자치시 조치원읍 문화로 24
로터슨,음식,비알코올 ,카페,세종특별자치시,세종특별자치시,어진동,세종특별자치시 세종특별자치시 어진동 610,세종특별자치시 세종특별자치시 도움8로 91
서원기획,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,세종특별자치시,세종특별자치시,연서면,세종특별자치시 세종특별자치시 연서면 봉암리 91-2,세종특별자치시 세종특별자치시 연서면 함박로 314
금호세종상가,소매,종합 소매,슈퍼마켓,세종특별자치시,세종특별자치시,금남면,세종특별자치시 세종특별자치시 금남면 발산리 326-3,세종특별자치시 세종특별자치시 금남면 성덕영곡길 21
뉴세종투어,시설관리·임대,여행사·보조,여행사,세종특별자치시,세종특별자치시,연기면,세종특별자치시 세종특별자치시 연기면 연기리 484-2,세종특별자치시 세종특별자치시 연기면 세종로 1775
미코헤어,수리·개인,이용·미용,미용실,세종특별자치시,세종특별자치시,도담동,세종특별자치시 세종특별자치시 도담동 660,세종특별자치시 세종특별자치시 보듬3로 8-20
가온애드,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,세종특별자치시,세종특별자치시,어진동,세종특별자치시 세종특별자치시 어진동 671,세종특별자치시 세종특별자치시 갈매로 351
세종우리공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,세종특별자치시,세종특별자치시,연서면,세종특별자치시 세종특별자치시 연서면 월하리 660-7,세종특별자치시 세종특별자치시 연서면 세종로 2136
세종365치과의원,보건의료,의원,치과의원,세종특별자치시,세종특별자치시,나성동,세종특별자치시 세종특별자치시 나성동 747,세종특별자치시 세종특별자치시 한누리대로 245
가람,음식,한식,백반/한정식,세종특별자치시,세종특별자치시,보람동,세종특별자치시 세종특별자치시 보람동 756,세종특별자치시 세종특별자치시 남세종로 466
일경건축사사무소,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,세종특별자치시,세종특별자치시,보람동,세종특별자치시 세종특별자치시 보람동 741,세종특별자치시 세종특별자치시 한누리대로 2149
아마스빈세종새롬점,음식,비알코올 ,카페,세종특별자치시,세종특별자치시,새롬동,세종특별자치시 세종특별자치시 새롬동 579,세종특별자치시 세종특별자치시 새롬중앙로 62-15
마이룸컨설팅,시설관리·임대,시설관리,사업시설 유지·관리 서비스업,세종특별자치시,세종특별자치시,도담동,세종특별자치시 세종특별자치시 도담동 653,세종특별자치시 세종특별자치시 보듬4로 9
스타공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,세종특별자치시,세종특별자치시,어진동,세종특별자치시 세종특별자치시 어진동 613,세종특별자치시 세종특별자치시 다솜로 290
